num,id,text,score,polarity,like,comment,shared,date_time,img_src,url
11,3809076822524782,"อันนี้แชร์ยังนะ

อันนี้แชร์ยังนะ

YOUTUBE.COM
โหมดแว้น แสนสนั่น อย่างปั่น ลั่นจริง ๆ - Among Us Highlight #17
อย่าลืมกดติดตามและกดกระดิ่งไว้ด้วยนะครับ เดี๋ยวพลาดคลิปใหม่ๆ นะรับนกอ้วนไปเลี้ยง : https://www.youtube.com/channel/UC4plRabXFGdAE6HP-tBQKdQ/join...

YOUTUBE.COM
โหมดแว้น แสนสนั่น อย่างปั่น ลั่นจริง ๆ - Among Us Highlight #17",0,neutral,0,0,0,2021-05-23 14:25:50,https://i.ytimg.com/vi/hcu5mFXNR2Y/maxresdefault.jpg,
12,3806955999403531,"สนิมจะเกาะหมดแล้ว

สนิมจะเกาะหมดแล้ว

YOUTUBE.COM
LIVE - Apex Legends #18 - ถ้าไม่เล่นนานสนิมจะเขรอะ
อย่าลืมกดติดตามและกดกระดิ่งไว้ด้วยนะครับ เดี๋ยวพลาดคลิปใหม่ๆ นะรับนกอ้วนไปเลี้ยง : https://www.youtube.com/channel/UC4plRabXFGdAE6HP-tBQKdQ/join...

YOUTUBE.COM
LIVE - Apex Legends #18 - ถ้าไม่เล่นนานสนิมจะเขรอะ",1.5,positive,0,0,0,2021-05-22 20:18:17,https://i.ytimg.com/vi/I2CTK2y36nA/maxresdefault_live.jpg,
13,3806140839485047,"หน้าดีคอย่างเม้ม555555555

หน้าดีคอย่างเม้ม555555555

YOUTUBE.COM
สภาพแบบนี้ พี่ขอไปส่ง - Days Gone On PC - Part 4
อย่าลืมกดติดตามและกดกระดิ่งไว้ด้วยนะครับ เดี๋ยวพลาดคลิปใหม่ๆ นะรับนกอ้วนไปเลี้ยง : https://www.youtube.com/channel/UC4plRabXFGdAE6HP-tBQKdQ/join...

YOUTUBE.COM
สภาพแบบนี้ พี่ขอไปส่ง - Days Gone On PC - Part 4",1.5,positive,0,0,0,2021-05-22 13:28:59,https://i.ytimg.com/vi/GhlrIo1_A1Q/maxresdefault.jpg,
14,3804174103015054,"ใช่ ๆ

ใช่ ๆ

YOUTUBE.COM
ข้ามปีแล้ว - Pummel Party #6
อย่าลืมกดติดตามและกดกระดิ่งไว้ด้วยนะครับ เดี๋ยวพลาดคลิปใหม่ๆ นะรับนกอ้วนไปเลี้ยง : https://www.youtube.com/channel/UC4plRabXFGdAE6HP-tBQKdQ/join...

YOUTUBE.COM
ข้ามปีแล้ว - Pummel Party #6",0,neutral,0,0,0,2021-05-21 21:09:28,https://i.ytimg.com/vi/kbnbuxMXPlg/maxresdefault_live.jpg,
15,3803222376443560,"กลอนแปดมันแต่งสนุกมากซีรี่ส์นี้ นี่เล่นต่อเพราะอยากแต่งกลอน

กลอนแปดมันแต่งสนุกมากซีรี่ส์นี้ นี่เล่นต่อเพราะอยากแต่งกลอน

YOUTUBE.COM
อย่าแตะรถฉันไม่งั้นเจอดี - Days Gone On PC - Part 3
อย่าลืมกดติดตามและกดกระดิ่งไว้ด้วยนะครับ เดี๋ยวพลาดคลิปใหม่ๆ นะรับนกอ้วนไปเลี้ยง : https://www.youtube.com/channel/UC4plRabXFGdAE6HP-tBQKdQ/join...

YOUTUBE.COM
อย่าแตะรถฉันไม่งั้นเจอดี - Days Gone On PC - Part 3",4.0,positive,0,0,0,2021-05-21 13:31:27,https://i.ytimg.com/vi/8x3jNd6SGjM/maxresdefault.jpg,
16,3800545270044604,"หมากัดต้องยิงตอบ

หมากัดต้องยิงตอบ

YOUTUBE.COM
สุนัขตัวใหญ่ที่ใครก็หยี - Days Gone On PC - Part 2
อย่าลืมกดติดตามและกดกระดิ่งไว้ด้วยนะครับ เดี๋ยวพลาดคลิปใหม่ๆ นะรับนกอ้วนไปเลี้ยง : https://www.youtube.com/channel/UC4plRabXFGdAE6HP-tBQKdQ/join...

YOUTUBE.COM
สุนัขตัวใหญ่ที่ใครก็หยี - Days Gone On PC - Part 2",-1.5,negative,0,0,0,2021-05-20 14:16:04,https://i.ytimg.com/vi/1tprBy-6gRM/maxresdefault.jpg,
17,3797551817010616,"หนีฟาร์มนู่นมาเจอฟาร์มนี้

หนีฟาร์มนู่นมาเจอฟาร์มนี้

YOUTUBE.COM
วัน ๆ ของผมที่มันผ่านไป - Days Gone On PC - Part 1
อย่าลืมกดติดตามและกดกระดิ่งไว้ด้วยนะครับ เดี๋ยวพลาดคลิปใหม่ๆ นะรับนกอ้วนไปเลี้ยง : https://www.youtube.com/channel/UC4plRabXFGdAE6HP-tBQKdQ/join...

YOUTUBE.COM
วัน ๆ ของผมที่มันผ่านไป - Days Gone On PC - Part 1",1.5,positive,0,0,0,2021-05-19 12:14:10,https://i.ytimg.com/vi/rbaddA3KhIE/maxresdefault.jpg,
18,3795724007193397,"ลงตัวแล้วมา

ลงตัวแล้วมา

YOUTUBE.COM
อยากลงตัวเราต้องลงตัว | Teamfight Tactics
อย่าลืมกดติดตามและกดกระดิ่งไว้ด้วยนะครับ เดี๋ยวพลาดคลิปใหม่ๆ นะรับนกอ้วนไปเลี้ยง : https://www.youtube.com/channel/UC4plRabXFGdAE6HP-tBQKdQ/join...

YOUTUBE.COM
อยากลงตัวเราต้องลงตัว | Teamfight Tactics",2.5,positive,0,0,0,2021-05-18 21:26:10,https://i.ytimg.com/vi/9st5aNAMXLI/maxresdefault_live.jpg,
19,3791848560914275,"หัวฟูชาแนล

หัวฟูชาแนล

YOUTUBE.COM
อยากเป็น Impostor ต้องหัวฟู - Among Us Highlight #16
อย่าลืมกดติดตามและกดกระดิ่งไว้ด้วยนะครับ เดี๋ยวพลาดคลิปใหม่ๆ นะรับนกอ้วนไปเลี้ยง : https://www.youtube.com/channel/UC4plRabXFGdAE6HP-tBQKdQ/join...

YOUTUBE.COM
อยากเป็น Impostor ต้องหัวฟู - Among Us Highlight #16",0,neutral,0,0,0,2021-05-17 18:19:58,https://i.ytimg.com/vi/w3Sd6f7CVPM/maxresdefault.jpg,
20,3789312124501252,"อยากยิงต้องได้ยิง

อยากยิงต้องได้ยิง

YOUTUBE.COM
LIVE - Apex Legends #17 - ไม่ได้เล่นนานต้องเอาซะละ
อย่าลืมกดติดตามและกดกระดิ่งไว้ด้วยนะครับ เดี๋ยวพลาดคลิปใหม่ๆ นะรับนกอ้วนไปเลี้ยง : https://www.youtube.com/channel/UC4plRabXFGdAE6HP-tBQKdQ/join...

YOUTUBE.COM
LIVE - Apex Legends #17 - ไม่ได้เล่นนานต้องเอาซะละ",1.5,positive,0,0,0,2021-05-16 20:27:43,https://i.ytimg.com/vi/A8ajS-D0kIw/maxresdefault_live.jpg,
