num,name,price,type,star,sold,send_from,img_src,url,product_id
13,Lucky_pig999 ***พร้อมส่ง*** โมเดล เซ๊ทแมว 5 ตัว ตุ๊กตาตั้งโชว์ ของตกแต่งห้อง ตกแต่งห้องนอน โมเดลแต่งห้อง แมวสุดน่ารัก,0,general,5.0,9.0,จังหวัดกรุงเทพมหานคร,https://cf.shopee.co.th/file/62596c226f489f03b716c3c6860ae65f_tn,https://shopee.co.th//Lucky_pig999-***พร้อมส่ง***-โมเดล-เซ๊ทแมว-5-ตัว-ตุ๊กตาตั้งโชว์-ของตกแต่งห้อง-ตกแต่งห้องนอน-โมเดลแต่งห้อง-แมวสุดน่ารัก-i.226308828.9174650985?position=12,9174650985
14,หมูชมพูนุ่มนิ่มLala Pig,0,general,5.0,5.0,จังหวัดชัยภูมิ,https://cf.shopee.co.th/file/a763631c3a35eaee8a43d4ea72e03eb8_tn,https://shopee.co.th//หมูชมพูนุ่มนิ่มLala-Pig-i.384258725.4993611353?position=13,4993611353
15,40ซม.ตุ๊กตา ตุ๊กตาของเล่น ตุ๊กตาหมู น่ารัก ผ้านุ่ม Peppa George Pig ของขวัญวันเกิด ของขวัญวันเด็ก,0,general,5.0,7.0,จังหวัดสมุทรสาคร,https://cf.shopee.co.th/file/1ad111f8fffe73c3ca8efca2b46c6b24_tn,https://shopee.co.th//40ซม.ตุ๊กตา-ตุ๊กตาของเล่น-ตุ๊กตาหมู-น่ารัก-ผ้านุ่ม-Peppa-George-Pig-ของขวัญวันเกิด-ของขวัญวันเด็ก-i.335597361.5063280894?position=14,5063280894
16,👹COD🎯ของเล่นเด้งช้า หมูลาร่า🔥หมายืด คลายเครียด ของเล่นหมู ตุ๊กตาน้องหมายืดได้หดได้ 💥pig/dog TikTok💯,0,general,4.75,29.0,จังหวัดกรุงเทพมหานคร,https://cf.shopee.co.th/file/62377c0c34b829921b0b7ff5038ed11e_tn,https://shopee.co.th//👹COD🎯ของเล่นเด้งช้า-หมูลาร่า🔥หมายืด-คลายเครียด-ของเล่นหมู-ตุ๊กตาน้องหมายืดได้หดได้-💥pig-dog-TikTok💯-i.311918370.9834699575?position=15,9834699575
17,pink dad pink pig สติ๊กเกอร์กันน้ําสําหรับติดตกแต่งผนังบ้าน,0,general,4.9,53.0,ต่างประเทศ,https://cf.shopee.co.th/file/5b06b6a14a9a784b0bfc8b58be72d4f8_tn,https://shopee.co.th//pink-dad-pink-pig-สติ๊กเกอร์กันน้ําสําหรับติดตกแต่งผนังบ้าน-i.243583779.6040513249?position=16,6040513249
18,Lucky_pig999❤️ซาลาเปาคลายเครียด ซาลาเปายืดได้ ของเล่นเด็กและผู้ใหญ่ ของเล่นคลายเครียด ซาลาเปาปลอม นุ่ม บีบเล่นคลายเครียด,0,general,4.8857,238.0,จังหวัดกรุงเทพมหานคร,https://cf.shopee.co.th/file/a8d4fb6d7cf8442222ef7cb53eeea3c1_tn,https://shopee.co.th//Lucky_pig999❤️ซาลาเปาคลายเครียด-ซาลาเปายืดได้-ของเล่นเด็กและผู้ใหญ่-ของเล่นคลายเครียด-ซาลาเปาปลอม-นุ่ม-บีบเล่นคลายเครียด-i.226308828.8858619882?position=17,8858619882
19,🔥หมูชมพูนุ่มนิ่ม Lala Pig ยืดได้ หดได้ เล่นแก้เบื่อ🔥,0,general,5.0,11.0,จังหวัดนครศรีธรรมราช,https://cf.shopee.co.th/file/a6c7163bc1a6def16391a89dec823e57_tn,https://shopee.co.th//🔥หมูชมพูนุ่มนิ่ม-Lala-Pig-ยืดได้-หดได้-เล่นแก้เบื่อ🔥-i.126905552.2977178110?position=18,2977178110
20,โมเดล หมู โมเดลหมู หมูน้อย หมี หมีน้อย เรียกเงิน เรียกทอง นำโชค Lucky Pig,0,ร้านแนะนำ,4.8,57.0,จังหวัดกรุงเทพมหานคร,https://cf.shopee.co.th/file/54f0c4f75de43f78fcee0ec7e7066dc4_tn,https://shopee.co.th//โมเดล-หมู-โมเดลหมู-หมูน้อย-หมี-หมีน้อย-เรียกเงิน-เรียกทอง-นำโชค-Lucky-Pig-i.49741758.5051718242?position=19,5051718242
21,🔥Happy Pig 🔥ของเล่นเด็ก หมูขึ้นบันได แบบใส่ถ่าน 🔥,0,ร้านแนะนำ,4.6,30.0,จังหวัดปทุมธานี,https://cf.shopee.co.th/file/5c684e70fd1e818292122964b3be53da_tn,https://shopee.co.th//🔥Happy-Pig-🔥ของเล่นเด็ก-หมูขึ้นบันได-แบบใส่ถ่าน-🔥-i.11503491.2863918851?position=20,2863918851
22,รองเท้าแตะผู้หญิง Face Pig รองเท้าแตะยางพื้นนุ่มใส่สบาย （แนะนำให้ซื้อเพิ่ม1เบอร์),0,general,4.6984,230.0,จังหวัดสมุทรปราการ,https://cf.shopee.co.th/file/2ce57823394488614cba7d3980ed9d1f_tn,https://shopee.co.th//รองเท้าแตะผู้หญิง-Face-Pig-รองเท้าแตะยางพื้นนุ่มใส่สบาย-（แนะนำให้ซื้อเพิ่ม1เบอร์)-i.142391996.2430924310?position=21,2430924310
23,OXBOW GARDEN SELECTAdult Guinea Pig 4 LB อาหารสูตรการ์เด้น ซีเล็ค สำหรับแกสบี้โต,0,ร้านแนะนำ,5.0,67.0,จังหวัดอุดรธานี,https://cf.shopee.co.th/file/b52a4d4e3bd805cb3d67dd13085455f1_tn,https://shopee.co.th//OXBOW-GARDEN-SELECTAdult-Guinea-Pig-4-LB-อาหารสูตรการ์เด้น-ซีเล็ค-สำหรับแกสบี้โต-i.18875171.5551789557?position=22,5551789557
24,"PAPA baby กระโถน ทรงรูปเต๋า มี3สี ให้เลือก ขาว,ฟ้า,เขียว แม่และเด็ก ของใช้สำหรับแม่ลูกอ่อน ทารก 1ตัว",0,ร้านแนะนำ,5.0,27.0,จังหวัดพิษณุโลก,https://cf.shopee.co.th/file/84973e8bce02deaf7f816a1ec8d03ba4_tn,https://shopee.co.th//PAPA-baby-กระโถน-ทรงรูปเต๋า-มี3สี-ให้เลือก-ขาว-ฟ้า-เขียว-แม่และเด็ก-ของใช้สำหรับแม่ลูกอ่อน-ทารก-1ตัว-i.273728105.6446735332?position=23,6446735332
25,☢Peppa Pig George Slide สวนสนุกสนามเด็กเล่นปราสาทซุกซนรถปิคนิค Play House รถโรงเรียนของเล่นสวน <,0,general,4.6818,60.0,จังหวัดกรุงเทพมหานคร,https://cf.shopee.co.th/file/f078d50b3f9ab8bd07d136919520b184_tn,https://shopee.co.th//☢Peppa-Pig-George-Slide-สวนสนุกสนามเด็กเล่นปราสาทซุกซนรถปิคนิค-Play-House-รถโรงเรียนของเล่นสวน--i.278029647.8401970212?position=24,8401970212
26,Peppa pig โรยทรายสี ของเล่นเด็ก,0,shopee mall,4.6667,21.0,จังหวัดกรุงเทพมหานคร,https://cf.shopee.co.th/file/1d8c16d9bd352a3f4b92c309c1c84b63_tn,https://shopee.co.th//Peppa-pig-โรยทรายสี-ของเล่นเด็ก-i.68449746.5180271486?position=25,5180271486
27,ตะขอแขวนหมูกรอบสแตนเลส Stainless steel frame pig hook,0,general,4.6667,33.0,จังหวัดกรุงเทพมหานคร,https://cf.shopee.co.th/file/e11d0d3cab38f8d1080295ba62b40422_tn,https://shopee.co.th//ตะขอแขวนหมูกรอบสแตนเลส-Stainless-steel-frame-pig-hook-i.65605484.2906003137?position=26,2906003137
28,20-50 ซม . ของเล่นตุ๊กตาการ์ตูน Peppa Pig George Mummy Daddy,0,general,4.7143,16.0,ต่างประเทศ,https://cf.shopee.co.th/file/6cc60a247cc23f3a6774c7b16ad44ac6_tn,https://shopee.co.th//20-50-ซม-.-ของเล่นตุ๊กตาการ์ตูน-Peppa-Pig-George-Mummy-Daddy-i.83442494.1644019442?position=27,1644019442
