num,name,price,type,star,sold,send_from,img_src,url,product_id
12,ของแท้ 💯/ส่งด่วน Bioaqua Silk Hydra Essence เซรั่มใยไหม 10ml. ฟื้นฟูผิว เนียนใส  ลดริ้วรอย กระชับรูขุมขน ผิวเรียบเนียน,0,ร้านแนะนำ,4.8182,80.0,จังหวัดกรุงเทพมหานคร,https://cf.shopee.co.th/file/fe361b686a780f7666930441000e4378_tn,https://shopee.co.th//ของแท้-💯-ส่งด่วน-Bioaqua-Silk-Hydra-Essence-เซรั่มใยไหม-10ml.-ฟื้นฟูผิว-เนียนใส-ลดริ้วรอย-กระชับรูขุมขน-ผิวเรียบเนียน-i.274325362.9757082670?position=11,9757082670
13,(B) ENFANT ซักผ้าเด็กแรกเกิดและผิวบอบบาง สูตร GOLD SILK PROTEIN,0,ร้านแนะนำ,4.8927,749.0,จังหวัดกรุงเทพมหานคร,https://cf.shopee.co.th/file/5d5e278edbb5489ba0f83d8cddeec487_tn,https://shopee.co.th//(B)-ENFANT-ซักผ้าเด็กแรกเกิดและผิวบอบบาง-สูตร-GOLD-SILK-PROTEIN-i.7510944.1773885474?position=12,1773885474
14,Double A ปากกาเจล Silk Gel 0.5 มม. สีน้ำเงิน **3 แถม 1**,0,ร้านแนะนำ,5.0,15.0,จังหวัดกรุงเทพมหานคร,https://cf.shopee.co.th/file/13936144b1405230e510de5a0172a704_tn,https://shopee.co.th//Double-A-ปากกาเจล-Silk-Gel-0.5-มม.-สีน้ำเงิน-**3-แถม-1**-i.98356743.6089149570?position=13,6089149570
15,MANA Sake Rice Silk Sunscreen SPF50+++ [ ครีมกันแดด มานา ข้าวสาเกญี่ปุ่น กันแดด เนื้อใยไหม],0,general,4.8601,520.0,จังหวัดกรุงเทพมหานคร,https://cf.shopee.co.th/file/c39dc353cf5178e121b99e9b7ae19c22_tn,https://shopee.co.th//MANA-Sake-Rice-Silk-Sunscreen-SPF50-ครีมกันแดด-มานา-ข้าวสาเกญี่ปุ่น-กันแดด-เนื้อใยไหม--i.384621508.9814616899?position=14,9814616899
16,(พร้อมส่ง) RAIP R3 Argan Hair Oil 100mL ออยล์บำรุงสุดปังจากเกาหลี / Raip R2 Liquid Silk Keratin Treatment เคราตินบำรุงผม,0,ร้านแนะนำ,4.919,7000.0,จังหวัดกรุงเทพมหานคร,https://cf.shopee.co.th/file/f62756b6f4d6f3a0ce9890328d9f7491_tn,https://shopee.co.th//(พร้อมส่ง)-RAIP-R3-Argan-Hair-Oil-100mL-ออยล์บำรุงสุดปังจากเกาหลี-Raip-R2-Liquid-Silk-Keratin-Treatment-เคราตินบำรุงผม-i.28725454.3632378493?position=15,3632378493
17,ปากกาเจล Double A Silk Gel Pen 0.5 มม.,0,ร้านแนะนำ,4.8,153.0,จังหวัดสุราษฎร์ธานี,https://cf.shopee.co.th/file/3059955f6b2a006e384c1e6ae1c0d870_tn,https://shopee.co.th//ปากกาเจล-Double-A-Silk-Gel-Pen-0.5-มม.-i.89884884.2203336994?position=16,2203336994
18,ปลอกหมอนผ้าMicro silk ไม่มีไรฝุ่น 300เส้น ลายริ้ว ขนาด20x30นิ้ว มีลิ้น6นิ้ว,0,general,4.95,85.0,จังหวัดนครปฐม,https://cf.shopee.co.th/file/d0ed06bd4b90bd9642ece318da384afc_tn,https://shopee.co.th//ปลอกหมอนผ้าMicro-silk-ไม่มีไรฝุ่น-300เส้น-ลายริ้ว-ขนาด20x30นิ้ว-มีลิ้น6นิ้ว-i.53945302.3256590571?position=17,3256590571
19,LEREEN ปลอกหมอน Silk Nano ปลอกหมอนกันสิว ปลอกหมอนกันหน้ายับ,0,ร้านแนะนำ,4.9545,88.0,จังหวัดปทุมธานี,https://cf.shopee.co.th/file/fb904ec6cae3103649bc6d1f930033a5_tn,https://shopee.co.th//LEREEN-ปลอกหมอน-Silk-Nano-ปลอกหมอนกันสิว-ปลอกหมอนกันหน้ายับ-i.10726670.8935456905?position=18,8935456905
20,📍โปร3วัน❗แป้ง Q nic care คิวนิคแคร์ ไมโคร ซิลค์ แป้ง Q-nic care micro silk two way powder,0,general,4.8678,463.0,จังหวัดมุกดาหาร,https://cf.shopee.co.th/file/19607d90e54f3d4fb452742ad017bdad_tn,https://shopee.co.th//📍โปร3วัน❗แป้ง-Q-nic-care-คิวนิคแคร์-ไมโคร-ซิลค์-แป้ง-Q-nic-care-micro-silk-two-way-powder-i.16365114.6557138556?position=19,6557138556
21,แผ่นมาส์กหน้า One Spring Silk Mask Moisturizing Whitening Hydrating Protein Facial ช่วยในเรื่อง ลดจุดด่างดำ มาส์กหน้า,0,ร้านแนะนำ,4.8285,2900.0,จังหวัดกรุงเทพมหานคร,https://cf.shopee.co.th/file/ea38cb8f4dbf0a6b219531c743f98ea4_tn,https://shopee.co.th//แผ่นมาส์กหน้า-One-Spring-Silk-Mask-Moisturizing-Whitening-Hydrating-Protein-Facial-ช่วยในเรื่อง-ลดจุดด่างดำ-มาส์กหน้า-i.90865463.7939103647?position=20,7939103647
22,สีใหม่ พร้อมส่ง หน้ากากผ้า Cotton Silk หนา3ชั้น กันน้ำ มีลวดโครงจมูก มีที่สอดแผ่นกรอง ใช้ผ้าที่ธรรมศาสตร์ใช้ทำหน้ากาก,0,general,4.7094,3600.0,จังหวัดปทุมธานี,https://cf.shopee.co.th/file/56b5b5e32acdba23d0265b0c0a4d7c3e_tn,https://shopee.co.th//สีใหม่-พร้อมส่ง-หน้ากากผ้า-Cotton-Silk-หนา3ชั้น-กันน้ำ-มีลวดโครงจมูก-มีที่สอดแผ่นกรอง-ใช้ผ้าที่ธรรมศาสตร์ใช้ทำหน้ากาก-i.56675525.5031459136?position=21,5031459136
23,Veet Silk & Fresh™ ครีมขจัดขน - Lotus Milk & Jasmine สำหรับผิวธรรมดา ขนาด 50 กรัม,0,general,4.625,29.0,จังหวัดสมุทรปราการ,https://cf.shopee.co.th/file/a8cc2f738d4d8b40c724654fa8e2decf_tn,https://shopee.co.th//Veet-Silk-Fresh™-ครีมขจัดขน-Lotus-Milk-Jasmine-สำหรับผิวธรรมดา-ขนาด-50-กรัม-i.452361609.9668369444?position=22,9668369444
