num,id,name,price,rating,review,rank,img_src,url
69,B08KNT4J48,"Maruchan Ramen Noodle Soup, Creamy Chicken Flavor (3 oz), 12 count",$12.95,4.5 out of 5 stars,177,not be a best,https://m.media-amazon.com/images/I/61TjfSKUPfL._AC_UL320_.jpg,https://www.amazon.com//Maruchan-Noodle-Creamy-Chicken-Flavor/dp/B08KNT4J48/ref=sr_1_21?crid=3Q2KXWLT7LP4R&dchild=1&keywords=chicken&qid=1621854982&sprefix=ch%2Caps%2C415&sr=8-21
70,B000EOXQRG,Lipton Cup-a-Soup Instant Soup For a Warm Cup of Soup Cream of Chicken Only 60 Calories Per Serving 2.4 Oz 4 Count (12 Pack),$28.26,4.6 out of 5 stars,"2,422",not be a best,https://m.media-amazon.com/images/I/819CIIt8SSL._AC_UL320_.jpg,https://www.amazon.com//Lipton-Soup-Instant-Cream-Chicken/dp/B000EOXQRG/ref=sr_1_22?crid=3Q2KXWLT7LP4R&dchild=1&keywords=chicken&qid=1621854982&sprefix=ch%2Caps%2C415&sr=8-22
71,B007YJVEHS,"Swanson Chicken A la King, 10.5 Ounce(Pack of 6)",$26.01,4.5 out of 5 stars,318,not be a best,https://m.media-amazon.com/images/I/61gPc8EKqhL._AC_UL320_.jpg,https://www.amazon.com//Swanson-Chicken-King-10-5-Ounce/dp/B007YJVEHS/ref=sr_1_23?crid=3Q2KXWLT7LP4R&dchild=1&keywords=chicken&qid=1621854982&sprefix=ch%2Caps%2C415&sr=8-23
72,B06X3XR7HR,"Savory Choice Chicken Broth Concentrate, 5.1 Ounce (Pack of 2)",$17.25,4.8 out of 5 stars,820,not be a best,https://m.media-amazon.com/images/I/615kJARxCLL._AC_UL320_.jpg,https://www.amazon.com//Savory-Choice-Chicken-Broth-Concentrate/dp/B06X3XR7HR/ref=sr_1_24?crid=3Q2KXWLT7LP4R&dchild=1&keywords=chicken&qid=1621854982&sprefix=ch%2Caps%2C415&sr=8-24
73,B0087E4584,Hormel Herb Ox Chicken Bouillon 50 Packets,out of stock,4.7 out of 5 stars,"1,818",not be a best,https://m.media-amazon.com/images/I/917-Zofm-OL._AC_UL320_.jpg,https://www.amazon.com//Hormel-Herb-Chicken-Bouillon-Packets/dp/B0087E4584/ref=sr_1_28?crid=3Q2KXWLT7LP4R&dchild=1&keywords=chicken&qid=1621854982&sprefix=ch%2Caps%2C415&sr=8-28
74,B004S04X56,"Hormel Premium Canned Chunk Chicken Breast in Water, 5 Ounce (Pack of 12)",$33.00,4.7 out of 5 stars,22,not be a best,https://m.media-amazon.com/images/I/81k5xMPAZPL._AC_UL320_.jpg,https://www.amazon.com//Hormel-Premium-Canned-Chicken-Breast/dp/B004S04X56/ref=sr_1_29?crid=3Q2KXWLT7LP4R&dchild=1&keywords=chicken&qid=1621854982&sprefix=ch%2Caps%2C415&sr=8-29
75,B00542M50W,"McCormick Grill Mates Montreal Chicken Seasoning, 23 oz",out of stock,4.8 out of 5 stars,"1,745",not be a best,https://m.media-amazon.com/images/I/91rtilX+jUL._AC_UL320_.jpg,https://www.amazon.com//McCormick-Grill-Montreal-Chicken-Seasoning/dp/B00542M50W/ref=sr_1_30?crid=3Q2KXWLT7LP4R&dchild=1&keywords=chicken&qid=1621854982&sprefix=ch%2Caps%2C415&sr=8-30
76,B003OB4BOS,"Maruchan Ramen Picante Chicken, 3.0 Oz, Pack of 24",$14.34,4.7 out of 5 stars,"34,060",Best Seller,https://m.media-amazon.com/images/I/91takZ0pzkL._AC_UL320_.jpg,https://www.amazon.com//Maruchan-Ramen-Picante-Chicken-Pack/dp/B003OB4BOS/ref=sr_1_31?crid=3Q2KXWLT7LP4R&dchild=1&keywords=chicken&qid=1621854982&sprefix=ch%2Caps%2C415&sr=8-31
77,B08H21XZRN,"Chick N’ Skin Fried Chicken Skins - Chinese Salt & Pepper Flavor (4Pack) | Keto Friendly Low Carb High Protein Snacks, Light & Crispy, Made with Organic Chicken 2-oz. per Bag",$25.99,3.9 out of 5 stars,278,not be a best,https://m.media-amazon.com/images/I/91NxXtdqB0L._AC_UL320_.jpg,https://www.amazon.com//Chick-Skin-Fried-Chicken-Skins/dp/B08H21XZRN/ref=sr_1_32?crid=3Q2KXWLT7LP4R&dchild=1&keywords=chicken&qid=1621854982&sprefix=ch%2Caps%2C415&sr=8-32
78,B07GBHKYJ3,"UNCLE BEN'S Ready Rice: Roasted Chicken Flavored Rice, Ready to Heat 8.8 Oz Pouches, Pack of 6",out of stock,4.7 out of 5 stars,"6,834",Best Seller,https://m.media-amazon.com/images/I/91U2FlVrkdL._AC_UL320_.jpg,https://www.amazon.com//Uncle-Bens-Ready-Rice-Flavored/dp/B07GBHKYJ3/ref=sr_1_33?crid=3Q2KXWLT7LP4R&dchild=1&keywords=chicken&qid=1621854982&sprefix=ch%2Caps%2C415&sr=8-33
79,B07Q27G3PK,"Zatarain's Chicken Fry Variety Two Pack - Southern Buttermilk Chicken Fry Mix, 9 oz, and New Orleans Style Hot & Spicy Chicken Fry Mix, 9 oz",out of stock,4.4 out of 5 stars,150,not be a best,https://m.media-amazon.com/images/I/71UjuZDsT0L._AC_UL320_.jpg,https://www.amazon.com//Zatarains-Chicken-Fry-Variety-Pack/dp/B07Q27G3PK/ref=sr_1_34?crid=3Q2KXWLT7LP4R&dchild=1&keywords=chicken&qid=1621854982&sprefix=ch%2Caps%2C415&sr=8-34
80,B0727W5494,"Chef's Cut Real Snack Chicken Barbecue Sticks, 1 Ounce (16 Count)",out of stock,4.4 out of 5 stars,634,not be a best,https://m.media-amazon.com/images/I/714hE1-Z25L._AC_UL320_.jpg,https://www.amazon.com//Chefs-Cut-Tender-Chicken-Barbecue/dp/B0727W5494/ref=sr_1_35?crid=3Q2KXWLT7LP4R&dchild=1&keywords=chicken&qid=1621854982&sprefix=ch%2Caps%2C415&sr=8-35
81,B00ZGT808Y,"McCormick Perfect Pinch Rotisserie Chicken Seasoning, 5 oz (Pack of 6)",out of stock,4.8 out of 5 stars,"1,084",not be a best,https://m.media-amazon.com/images/I/61kmKHFtdSL._AC_UL320_.jpg,https://www.amazon.com//McCormick-Perfect-Rotisserie-Chicken-Seasoning/dp/B00ZGT808Y/ref=sr_1_36?crid=3Q2KXWLT7LP4R&dchild=1&keywords=chicken&qid=1621854982&sprefix=ch%2Caps%2C415&sr=8-36
82,B079L3YW8T,"Better Than Bouillon Organic Roasted Chicken Base, Reduced Sodium - 2Pack (16 oz Each) Ykglcd",$22.97,4.8 out of 5 stars,174,not be a best,https://m.media-amazon.com/images/I/51gr5l28p3L._AC_UL320_.jpg,https://www.amazon.com//Better-Than-Bouillon-Organic-Roasted/dp/B079L3YW8T/ref=sr_1_37?crid=3Q2KXWLT7LP4R&dchild=1&keywords=chicken&qid=1621854982&sprefix=ch%2Caps%2C415&sr=8-37
