num,name,price,type,star,sold,from,img_src,url
18,กระเทียมโทนดองน้ำผึ้ง ป่าไผ่,฿85,general,4.8824,147.0,จังหวัดปทุมธานี,no image,https://shopee.co.th//กระเทียมโทนดองน้ำผึ้ง-ป่าไผ่-i.76165427.6809293705
19,กระเทียมโทนดอง แม่จินต์ ขวดแก้ว,฿65,general,4.8182,50.0,จังหวัดลำปาง,no image,https://shopee.co.th//กระเทียมโทนดอง-แม่จินต์-ขวดแก้ว-i.242679790.4830505632
20,กระเทียมโทนดองน้ำผึ้ง น้ำหนักเนื้อ 100 กรัม น้ำหนักรวม 200 กรัม,฿50,ร้านแนะนำ,4.9178,1100.0,จังหวัดเชียงใหม่,no image,https://shopee.co.th//กระเทียมโทนดองน้ำผึ้ง-น้ำหนักเนื้อ-100-กรัม-น้ำหนักรวม-200-กรัม-i.54833404.2190029872
21,"กระเทียมโทนดอง (เกรด A) น้ำผึ้ง , สามรส น้ำหนักรวม 400 กรัม (ได้เยอะ ไม่หก ไม่หนักขวด)",฿125,general,4.7969,248.0,จังหวัดเชียงใหม่,https://cf.shopee.co.th/file/95f499f7937557b43d306d2d233bb7f2_tn,https://shopee.co.th//กระเทียมโทนดอง-(เกรด-A)-น้ำผึ้ง-สามรส-น้ำหนักรวม-400-กรัม-(ได้เยอะ-ไม่หก-ไม่หนักขวด)-i.34044695.4274906470
22,กระเทียมโทน แม่จินต์,฿179,general,5.0,55.0,จังหวัดสงขลา,https://cf.shopee.co.th/file/9000d4ff0b367f91e3b372fb8c5de22f_tn,https://shopee.co.th//กระเทียมโทน-แม่จินต์-i.251077594.7452475550
23,Code:256 กระเทียมโทนดอง 470 กรัม กระปุกใหญ่ ดองน้ำผึ้ง ดองสามรส,฿200,ร้านแนะนำ,4.7593,298.0,จังหวัดเชียงราย,https://cf.shopee.co.th/file/a2ed3d5518d967b6a038834b47c440a0_tn,https://shopee.co.th//Code-256-กระเทียมโทนดอง-470-กรัม-กระปุกใหญ่-ดองน้ำผึ้ง-ดองสามรส-i.9110114.84739203
24,กระเทียมโทนดองน้ำผึ้ง น้ำหนักเนื้อกระเทียม 220 กรัม (ไม่รวมน้ำดอง),฿90,general,4.7042,280.0,จังหวัดเชียงใหม่,https://cf.shopee.co.th/file/9c62f8b04e6106fb6f818bf9afc64287_tn,https://shopee.co.th//กระเทียมโทนดองน้ำผึ้ง-น้ำหนักเนื้อกระเทียม-220-กรัม-(ไม่รวมน้ำดอง)-i.52096312.6432263490
25,กระเทียมดองไร้สารฟอกขาว ขนาด 800 กรัม (น้ำหนักเนื้อ500กรัม),฿80,ร้านแนะนำ,4.9296,167.0,จังหวัดเชียงใหม่,https://cf.shopee.co.th/file/ad5b3afc9c312f519383fb6c2fe679fb_tn,https://shopee.co.th//กระเทียมดองไร้สารฟอกขาว-ขนาด-800-กรัม-(น้ำหนักเนื้อ500กรัม)-i.54833404.6005970419
26,น้ำกระเทียมดอง ตรา ป. บรรจุ 850 มล.,฿12,general,4.9722,169.0,จังหวัดกรุงเทพมหานคร,https://cf.shopee.co.th/file/6fab4f781bb0a3a1092f2974050ed861_tn,https://shopee.co.th//น้ำกระเทียมดอง-ตรา-ป.-บรรจุ-850-มล.-i.72429242.5620847639
27,กระเทียมโทนดอง (เกรด B) สามรส น้ำหนักเนื้อ 400 กรัม น้ำหนักรวม 600 กรัม (ได้เยอะ ไม่หก ไม่หนักขวด),฿65,general,4.8571,58.0,จังหวัดเชียงใหม่,https://cf.shopee.co.th/file/9a23e73f4809ca25d4f01867d6c4bbcc_tn,https://shopee.co.th//กระเทียมโทนดอง-(เกรด-B)-สามรส-น้ำหนักเนื้อ-400-กรัม-น้ำหนักรวม-600-กรัม-(ได้เยอะ-ไม่หก-ไม่หนักขวด)-i.34044695.8815389391
