num,title,author,author_id,story,likeCount,emocount,allemos,tags,dateTime,post_link,img_src
12,ต้มข่าไก่,สมาชิกหมายเลข 5969321,5969321,"
								ต้มข่าไก่
ส่วนผสม
1. ใบมะกรูด
2. หอมแดง
3. ตะไคร้
4. มะขามเปียก
5. มะเขือเทศ
6. สะโพกไก่ 
7. เห็ดนางฟ้า
8. กะทิ 400 มิลลิลิตร
9. เกลือ 2 ชา
10. น้ำตาล 4 ช้อนชา
11. ผงปรุงรส 1 ช้อนชา
12. พริกชี้ฟ้าแดง
13. พริกแห้งทอด ต้ำหอมผักชีซอย

วิธีทำ ต้มข่าไก่
1. ใส่กะทิในหม้อ แล้วตั้งไฟ พอเริ่มเดือด ใส่ตะไคร้ ข่า ใบมะกรูด หอมแดง 
2. พอกะทิเดือดใส่เนื้อไก่ พอเดือดอีกรอบใส่มะขามเปียก
3. คอยช้อนฟองทิ้ง แล้วใส่มะเขือเทศ
4. ปรุงรสด้วยเกลือ น้ำตาล ผงปรุงรส
5. ต้มจนกว่าไก่จะสุก แล้วเห็ด พริกชี้ฟ้าแดง
6. รอจนเห็ดสุก ใส่พริกแห้งทอด ต้นหอมผักชีซอย
7. ตักใส่ถ้วยโรยหน้าด้วย พริกขี้หนูทุบ ผักชี พร้อมเสิร์ฟแล้วจ้า 
                  

																															",1,3,"['3', '0', '0', '0', '0', '0']","['อาหารไทย', 'สูตรอาหาร', 'อาหารคาว', 'เมนูต้ม', 'เมนูอาหาร']",02/05/2021 15:32:45,https://pantip.com/topic/40500097,https://f.ptcdn.info/479/072/000/qo1riyoinPtLbP0LhbC-o.jpg
13,แกงฟักทองใส่ปีกไก่,สมาชิกหมายเลข 5969321,5969321,"
								แกงฟักทองใส่ปีกไก่                   																															",1,4,"['3', '0', '1', '0', '0', '0']","['เมนูแกง', 'อาหารไทย', 'สูตรอาหาร', 'ทำอาหาร', 'อาหาร']",04/21/2021 08:43:12,https://pantip.com/topic/40655761,https://f.ptcdn.info/226/073/000/qrw4pr56je2nSzsYi4m6-o.jpg
14,ฆ่-าไก่?,สมาชิกหมายเลข 6230744,6230744,"
								ถ้าเราเอาข้าวคลุกยาฆ่าหญ้าแล้วไก่มากินไก่จะตายมั้ย?																																	   แก้ไขข้อความเมื่อ   
							",0,0,"['0', '0', '0', '0', '0', '0']","['ปัญหาชีวิต', 'ปัญหาครอบครัว', 'ปัญหาสิ่งแวดล้อม', 'ปัญหาสังคม', 'ปัญหาวัยรุ่น']",04/07/2021 16:46:54,https://pantip.com/topic/40628856,no img
15,ไก่กับไข่,สมาชิกหมายเลข 5115088,5115088,"
								ไก่กับไข่ อะไรเกิดก่อนกัน																															",0,0,"['0', '0', '0', '0', '0', '0']",['ไก่ชน'],03/11/2021 20:05:02,https://pantip.com/topic/40574548,no img
16,ไก่แพ็คแช่แข็งกับไก่สดได้ประโยชน์เท่ากันไหม,สมาชิกหมายเลข 6105190,6105190,"
								คือถ้าเรากินไก่แพ็คกับไก่สดประโยชน์ที่ได้รับมันเหมือนกันไหมแล้วในไก่แพ็คมันมีโซเดียมมั้ยประมาณเท่าไหร่																															",0,0,"['0', '0', '0', '0', '0', '0']","['อาหาร', 'โภชนาการ', 'อาหารแช่แข็ง']",05/14/2021 08:56:37,https://pantip.com/topic/40707418,no img
17,สูตรไก่ทอดเเป๊ปซี่,สมาชิกหมายเลข 6401408,6401408,"
								วัตถุดิบ
1ปีกไก่กลาง
2เเป๊ปซี่
3ซอสปรุงรส
หมักไก่ แล้วนำไก่ไปทอดให้พอสุก จากนั้นแบ่งน้ำมันออกบางส่วนให้เหลือน้อยที่สุด ใส่เป๊ปซี่ ลงไปในกระทะจากนั้นให้นำ ไก่ ใส่ลงไปในกระทะ ผัด จนน้ำเป๊ปซี่แห้ง เป็นอันเสร็จ หวังว่าจะมีประโยชน์นะคะ																															",0,0,"['0', '0', '0', '0', '0', '0']",[],04/11/2021 12:27:31,https://pantip.com/topic/40636229,no img
18,เน็กไก่,สมาชิกหมายเลข 5870152,5870152,"
								อินเตอร์​ทรูจะเป็นแบบนี้ตลอดเลยหรือ
ตั้งค่าตามที่บอกมาก็แล้ว  เทสสปีด​ ขึ้นแค่0.3  เน็ต​ 10​ m นะ​ ไม่ใช่​ 1​ m																															",0,0,"['0', '0', '0', '0', '0', '0']",[],01/29/2021 20:43:22,https://pantip.com/topic/40484882,no img
19,ไก่ไข่ เลี้ยงยังไงให้มีลูกไก่?,สมาชิกหมายเลข 6193284,6193284,"
								คำถามที่ผมถามอาจจะดูโง่ๆเเต่ผมงงจริงๆนะครับ

พอดีที่บ้านซื้อไก่ไข่มาเลี้ยง 20 ตัวเป็นตัวเมียหมดเลยแล้วผมเลยถามกลับ ย่าว่าแล้วไม่ซื้อไก่ไข่ตัวผู้หรอเดี๋ยวไข่ก็จะไม่มีลูกไก่หรอกย่าก็บอกว่าไข่ไก่ตัวเมียมันไข่ไม่มีตัวอยู่แล้วผมเลยสงสัยว่าอ้าวแล้วทำยังไงแม่ไก่ ไข่ถึงจะออก ไข่มีเชื้อ เป็นลูกเจี๊ยบ

เลยอยากจะถามพวกพี่ๆที่มีความรู้หน่อยครับ

อยากรู้ว่าเลี้ยงไก่ไข่ยังไงให้ไข่มีเชื้อเป็นลูกไก่ไข่																																	   แก้ไขข้อความเมื่อ   
							",0,1,"['0', '1', '0', '0', '0', '0']","['สัตว์ปีก', 'สัตว์เลี้ยง']",02/04/2021 10:35:00,https://pantip.com/topic/40497177,no img
20,ไก่ตุ๋นยาจีน,good moments,402645,"
								ไก่ตุ๋นยาจีน เมนูบำรุงสุขภาพมาแล้วค่ะ
สองสามวันมานี้ พลังแฝงมาจากไหนเยะแยะไม่รู้ อยากทำนู่นทำนี่ทั้งวันเลยค่ะแม่นันวานสามีซื้อ น.ส.(น่องติดสะโพก) มาให้หนึ่งกิโล บอกให้เลือกอวบๆสวยๆ อารามคงตกใจกับคำว่า น.ส. กลัวบอกแม่ค้าผิด น่องที่ได้เลยไม่ค่อยติดสะโพกมาเท่าไหร่ ไม่เป็นไร พ่อบ้านซื้อให้ได้ขนาดนี้ก็เป็นบุญแล้ว ว่ามั้ยคะแม่นันนึกขึ้นได้ว่าอาทิตย์ที่แล้วมีซื้อเครื่องยาจีนไว้ เช้านี้จึงอยากทำเมนูสุขภาพถวายพระท่านที่ชรามากแล้ว มีโรคประจำตัวคือเบาหวานด้วย
ไก่ตุ๋นยาจีนเป็นอะไรที่แม่นันชอบมาตั้งแต่เด็กๆ จำได้ว่าอาอึ้ม (คุณแม่) ทำให้ทานบ่อยมาก คงเห็นแม่นันไม่ค่อยแข็งแรงน่ะค่ะ (แค่ผอมเท่าไม้จิ้มฟันเท่านั้นเอง) ทุกคนก็เป็นห่วงกันใหญ่ กลิ่นน้ำมันตับปลาที่ถูกบังคับให้กินแต่เด็กๆยังติดมาจนทุกวันนี้เลยค่ะ
ก่อนมาดูวิธีทำ มารู้จักสมุนไพรที่จะนำมาตุ๋นในหม้อนี้กันค่ะ ในเมนูนี้แม่นันใส่ เก๋ากี ฮ่วยซัว และปักคี้ (อึ่งคี้) จริงๆมีอีกหลายตัวที่นำมาตุ๋นได้นะคะ แต่ที่ซื้อมาเป็นแพ็คสำเร็จมีสามตัว แค่สามตัวยานี้ก็ได้ประโยชน์มหาศาลเลยค่ะ- เก๋ากีดำ คุณลักษณะของเก๋ากี้ดำ ในทางการแพทย์แผนจีน คือ รสหวาน ฤทธิ์กลาง ออกฤทธิ์ตามเส้นลมปราณของตับ ไต และปอด ช่วยบำรุงไต บำรุงสารจำเป็น เสริมตับ บำรุงสายตา สงบประสาท ดับกระหาย เสริมปอด แก้ไอร้อน รักษาตับและไตหยินพร่อง เอวและเข่าอ่อนแรง เวียนศีรษะ ตาลาย น้ำตามาก เบาหวาน- ฮ่วยซัว (ฝานเป็นแผ่นบางๆ) นำมาบดก็ได้ค่ะ เป็นสมุนไพร (พืชสกุลกลอย) บำรุงกำลัง และเป็นอาหารที่ดีต่อสุขภาพของผู้สูงอายุ ใช้รากเป็นยา มีสรรพคุณเสริมสร้างร่างกาย ช่วยย่อยอาหารแก้ท้องร่วง ลดเหงื่อ บำรุงไต และใช้ได้ผลมากกับอาการอันเกิดจากโรคเบาหวาน เช่น กระหายน้ำ ซูบผอมปัสสาวะมาก รวมทั้งอาการเหงื่อออกมาก นอนไม่หลับ เบื่ออาหาร ก็ให้รับประทานได้เช่นกัน- ปักคี้ หรืออึ่งคี้ เป็นพืชล้มลุกในตระกูลถั่ว เสริมสร้างภูมิต้านทานของร่างกาย ช่วยขจัดสิ่งแปลกปลอมให้แก่ร่างกายจึงเป็นตัวยาสำคัญในการปกป้องสุขภาพครรภ์ได้ดีทีเดียว และยังช่วยบำรุงเลือด เพิ่มกำลังลดการอ่อนเพลียให้ร่างกายมีกำลังมากขึ้น ช่วยกระตุ้นการทำงานต่างๆของเซลล์ภายในร่างกาย ขับของเสีย เสริมสร้างกล้ามเนื้อให้แข็งแรง และยังบำรุงร่างกายไม่ให้เกิดอาการวิงเวียนหน้ามืดระหว่างตั้งครรภ์
*ขอบคุณข้อมูลดีๆจากเวปไซต์ต่างๆค่ะเมื่อรู้จักสรรพคุณกันแล้ว มาดูวิธีตุ๋นกันค่ะ- นำสมุนไพรทั้งสามตัวนี้ ล้าง แช่น้ำ พักสะเด็ดน้ำก่อนนำมาใช้ค่ะ
- ตั้งหม้อใส่น้ำประมาณลิตรครึ่ง เหยาะเกลือเล็กน้อย (ถ้ามีรากผักชีบุบลงด้วยค่ะ)- เมื่อน้ำเดือด ค่อยๆหย่อนน่องไก่ลง ปรับไฟอ่อน (ไม่ต้องปิดฝาหม้อนะคะ) รอเดือดอีกครั้ง คอยช้อนฟองออก
- จากนั้นนำเครื่องยาจีนทุกอย่างใส่ลงไป พร้อมกับเห็ดหอม (ล้างและแช่น้ำจนนิ่ม) สักสามสี่ดอกค่ะ ปรับไฟกลาง ปิดฝา ตุ๋นสักพัก ปรุงด้วยเกลือ 2 ช้อนชา น้ำตาล 1 ชช. พริกไทย 1 ชช หรือมากกว่านี้ตามชอบ และซี่อิ๊วขาว 1 ชต.
**(ระหว่างเกลือกับซี่อิ๊วขาว ปรับกันได้ค่ะ ใส่อย่างใดอย่างหนึ่งมากกว่า เป็นเกลือ 1 ชช ซี่อิ๊วขาว 2 ชต. หรือเกลือ 2 ชช ซี่อิ๊วขาว 1 ชต) ถ้าแม่นันกะปริมาณน้ำผิดไป ค่อยๆปรับเครื่องปรุงกันนะคะ จะได้เพิ่มทักษะการชิมให้ตนเองค่ะ
- เมื่อได้รสชาติกลมกล่อมแล้ว ตุ๋นไฟอ่อนถึงกลางอีกสัก 20 นาที ขึ้นอยู่กับหม้อตุ๋นด้วยนะคะ แม่นันได้หม้อชุดนี้จากอาตั่วแจ้มา ชอบมากก เดือดไวมาก เหมาะสำหรับเมนูต้ม ตุ๋นมากค่ะ แต่เนื่องจากเป็นหม้อเก็บความร้อน ตัวหม้อจึงร้อนมาก รวมทั้งหูทั้งสองข้างด้วย ต้องสวมถุงมือจับทุกครั้งค่ะ ทิ้งไว้เป็นสิบ ยี่สิบนาทียังร้อนอยู่เลยค่ะ
- คอยเปิดฝาช้อนฟองออกเป็นระยะ ระยะนะคะ สีน่าทานมากค่ะ
แม่นันรีบแยกส่วนที่จะถวายพระออกมาก่อนเลยค่ะ พี่ภูมิ่ขอต่อก้นหม้อทันที (่บุญใหญ่นะเนีย) ""อื๋ม..เนื้อไกนุ่ม นำซุปอร่อยมากเลยมามี้"" ""เค้าเรียกเมนูอะไรเหรอ""
""เมนูไก่ตุ๋นยาจีน"" ค่ะ
ลองทำดูนะคะ ตุ๋นให้อาป๊า อาม้าทานบำรุงสุขภาพ เด็กๆอย่างพี่ภูมิ่ยังชอบเลยค่ะ ถ้าไม่ชอบไก่ ใช้กระดูกหมู เนื้อวัว หรือเนื้อแพะ ก็ได้ค่ะไว้แม่นันจะทยอยนำเมนูตุ๋นยาจีนอื่นๆ มาแนะนำอีกค่ะ
#ไก่ตุ๋นยาจีน #อาหารจีน #อาหารโบราณ #หาทานยาก #nanthineeHomemade #หาของกิน #อร่อยบอกต่อ																															",5,6,"['6', '0', '0', '0', '0', '0']","['เมนูตุ๋น', 'อาหารผู้สูงอายุ', 'อาหารจีน', 'เมนูอาหาร', 'อาหารเพื่อสุขภาพ']",05/20/2021 03:39:45,https://pantip.com/topic/40720619,https://f.ptcdn.info/548/073/000/qtdftg2m4m29jll6pAjx-o.jpg
21,เอ็นข้อไก่คั่วพริกเกลือ,สมาชิกหมายเลข 5969321,5969321,"
								เอ็นข้อไก่คั่วพริกเกลือ                   																															",6,8,"['8', '0', '0', '0', '0', '0']","['สูตรอาหาร', 'ทำอาหาร', 'อาหารว่าง/ของทานเล่น', 'อาหาร', 'เมนูทอด']",04/07/2021 18:24:02,https://pantip.com/topic/40629035,https://f.ptcdn.info/093/073/000/qr6ya3uqd9ehQ9VvPwT-o.jpg
