num,name,price,type,sold,from,img_src,url
14,ปุ้มปุ้ยพร้อมทาน เมนูไก่จิ้มแจ่ว ขนาด 85 กรัม,฿28,general,ขายแล้ว 2.4พัน ชิ้น,จังหวัดสมุทรปราการ,https://cf.shopee.co.th/file/3b5a4d61eb5f0d70af892e6c1c4c0f62_tn,https://shopee.co.th//ปุ้มปุ้ยพร้อมทาน-เมนูไก่จิ้มแจ่ว-ขนาด-85-กรัม-i.138020609.6115075764
15,** สินค้าพร้อมส่ง ขาไก่ สัมมากร ต้นตำหรับความอร่อย ขนาดใหญ่,฿159,ร้านแนะนำ,ขายแล้ว 223 ชิ้น,จังหวัดกรุงเทพมหานคร,https://cf.shopee.co.th/file/906de2d388d29123d9a2a2899e368acb_tn,https://shopee.co.th//**-สินค้าพร้อมส่ง-ขาไก่-สัมมากร-ต้นตำหรับความอร่อย-ขนาดใหญ่-i.29529777.7635802716
16,ไก่ปูนปั้นบูชา/แก้บนไอ้ไข่ คละสี แถมธูปไอ้ไข่ ราคา/ตัว รับปรสินค้าแตกหัก COD เก็บเงินปลายทาง,฿29,ร้านแนะนำ,ขายแล้ว 2.4พัน ชิ้น,จังหวัดนครศรีธรรมราช,https://cf.shopee.co.th/file/43332534c9c88a1211ac5ca212c2b188_tn,https://shopee.co.th//ไก่ปูนปั้นบูชา-แก้บนไอ้ไข่-คละสี-แถมธูปไอ้ไข่-ราคา-ตัว-รับปรสินค้าแตกหัก-COD-เก็บเงินปลายทาง-i.155954119.6841501883
17,🔥 กรุงเทพ และนนทบุรี ของถึงภายในวัน เลือกขนส่ง Seller Own Fleet 🔥 โบโลน่าไก่พริกสไลด์ แหลมทอง,฿100,ร้านแนะนำ,ขายแล้ว 31 ชิ้น,จังหวัดกรุงเทพมหานคร,https://cf.shopee.co.th/file/dc6476777ed6ca3b0b06f159816d8983_tn,https://shopee.co.th//🔥-กรุงเทพ-และนนทบุรี-ของถึงภายในวัน-เลือกขนส่ง-Seller-Own-Fleet-🔥-โบโลน่าไก่พริกสไลด์-แหลมทอง-i.259174001.7249214535
18,ลูกชิ้นไก่หุ่นดีคีโต แพค 500 กรัม,฿98,ร้านแนะนำ,ขายแล้ว 935 ชิ้น,จังหวัดบุรีรัมย์,https://cf.shopee.co.th/file/a551a4043f4af7d9e52b3d007cda9bd6_tn,https://shopee.co.th//ลูกชิ้นไก่หุ่นดีคีโต-แพค-500-กรัม-i.261204974.7135231139
19,🍗ไก่คาราเกะสุรพลฟู๊ด สูตรพริกไทยดำ🐔 (1กิโล/แพ็ค) หอมเครื่องเทศ,฿135,general,ขายแล้ว 35 ชิ้น,จังหวัดนครสวรรค์,https://cf.shopee.co.th/file/bf3be63b81695a1ac8a7ab1e01670bfd_tn,https://shopee.co.th//🍗ไก่คาราเกะสุรพลฟู๊ด-สูตรพริกไทยดำ🐔-(1กิโล-แพ็ค)-หอมเครื่องเทศ-i.39395342.7167283417
20,💋กทม.+ปริมณฑลส่งเช้าเย็นถึง💋 AFM ไส้กรอกไก่จัมโบ้ทองชีสสอดไส้ 1000 กรัม 15 ชิ้น,฿115,ร้านแนะนำ,ขายแล้ว 591 ชิ้น,จังหวัดกรุงเทพมหานคร,https://cf.shopee.co.th/file/9318d28d83cf866d3034b8e311b6c6e4_tn,https://shopee.co.th//💋กทม.-ปริมณฑลส่งเช้าเย็นถึง💋-AFM-ไส้กรอกไก่จัมโบ้ทองชีสสอดไส้-1000-กรัม-15-ชิ้น-i.38444368.3831525256
21,AFM ไส้กรอกไก่รมควันหนังกรอบสอดไส้ชีส ไส้กรอกafm ไส้กรอกชีส ไส้กรอกหนังกรอบชีส 500 กรัม สินค้ามีฮาลาล Halal Food,฿119,ร้านแนะนำ,ขายแล้ว 429 ชิ้น,จังหวัดปทุมธานี,https://cf.shopee.co.th/file/374bce63b27ee0c7aaf379b3dd8f9e36_tn,https://shopee.co.th//AFM-ไส้กรอกไก่รมควันหนังกรอบสอดไส้ชีส-ไส้กรอกafm-ไส้กรอกชีส-ไส้กรอกหนังกรอบชีส-500-กรัม-สินค้ามีฮาลาล-Halal-Food-i.256671805.5634948122
22,ไส้กรอกอีสานไก่ ฮาลาล ตรา IBF ขนาด500กรัม ต้นตำรับไส้กรอกอีสานมุสลิมเจ้าแรก สดใหม่ อร่อย,฿90,general,ขายแล้ว 236 ชิ้น,จังหวัดสงขลา,https://cf.shopee.co.th/file/2cd1c4a12ca41ad3efdc4541be154e1c_tn,https://shopee.co.th//ไส้กรอกอีสานไก่-ฮาลาล-ตรา-IBF-ขนาด500กรัม-ต้นตำรับไส้กรอกอีสานมุสลิมเจ้าแรก-สดใหม่-อร่อย-i.12115433.5812622368
23,ไก่ชน ไก่ชนสวยขนาด13 cm อกดำ (คู่ละ) ไก่แก้บน ไก่ไหว้ไอ้ไข่ ไก่ไอ้ไข่วัดเจดีย์ ไก่ชนแก้บน  ไก่นำโชค รูปปั้นไก่ชน,฿75,ร้านแนะนำ,ขายแล้ว 15 ชิ้น,จังหวัดสุพรรณบุรี,https://cf.shopee.co.th/file/07e6d80cfbf82c2f2900f648fc4171ea_tn,https://shopee.co.th//ไก่ชน-ไก่ชนสวยขนาด13-cm-อกดำ-(คู่ละ)-ไก่แก้บน-ไก่ไหว้ไอ้ไข่-ไก่ไอ้ไข่วัดเจดีย์-ไก่ชนแก้บน-ไก่นำโชค-รูปปั้นไก่ชน-i.91332382.2915410068
